x,y,z,value
1,3,9,2.5788548279
1,3,10,2.86570954557
1,3,11,3.33844999184
1,4,0,-3.53580558756
1,4,1,-3.05162083984
1,4,2,-2.55598949557
1,4,3,-2.11519760229
1,4,4,-1.54904580298
1,4,5,-0.980838358937
1,4,6,-0.0384300915589
1,4,7,0.351428798303
1,4,8,0.973259456929
1,4,9,2.47096588322
1,4,10,3.20760908824
1,4,11,3.07418341504
1,5,0,-3.402166573
1,5,1,-2.88747474997
1,5,2,-2.49425622289
1,5,3,-2.02686064071
1,5,4,-1.35751139989
1,5,5,-0.688615527871
1,5,6,-0.102865661653
1,5,7,0.701232027623
1,5,8,1.44478149665
1,5,9,1.93684708419
1,5,10,2.81109218714
1,5,11,3.34994191417
1,6,0,-3.3876425916
1,6,1,-2.8828145552
1,6,2,-2.45299553639
1,6,3,-1.71611425129
1,6,4,-1.21263913573
1,6,5,-0.417407005025
1,6,6,0.109224967521
1,6,7,0.964836934532
1,6,8,1.80827335064
1,6,9,2.29365258965
1,6,10,2.62794181242
1,6,11,3.44912161401
1,7,0,-3.45264974818
1,7,1,-3.13554719427
1,7,2,-2.35551630372
1,7,3,-2.0219785758
1,7,4,-1.33590300152
1,7,5,-0.0933900372858
1,7,6,0.435696454289
1,7,7,1.17861710317
1,7,8,1.60854817457
1,7,9,2.05407251314
1,7,10,2.68377042235
1,7,11,3.24884756099
1,8,0,-3.53189303278
1,8,1,-3.16849503412
1,8,2,-2.76978751272
1,8,3,-2.1644044904
1,8,4,-2.02764487186
1,8,5,-1.12416892034
1,8,6,0.92600100097
1,8,7,1.41181645856
1,8,8,2.10139417052
1,8,9,2.68835205645
1,8,10,3.07665173195
1,8,11,3.44836783108
1,9,0,-3.68231800059
1,9,1,-3.2906638343
1,9,2,-2.7443058312
1,9,3,-2.30298791886
1,9,4,-2.04806955388
1,9,5,-1.85400227665
1,9,6,0.468343560765
1,9,7,1.72205621695
1,9,8,2.39416605456
1,9,9,2.95864225128
1,9,10,3.53878990824
1,9,11,3.42390477795
1,10,0,-3.48471066718
1,10,1,-3.06523320121
1,10,2,-2.91221213373
1,10,3,-2.48480758414
1,10,4,-2.13629569227
1,10,5,-1.20568041475
1,10,6,0.293533622547
1,10,7,1.3615686511
1,10,8,2.7089906649
1,10,9,3.15314498586
1,10,10,3.72899201229
1,10,11,3.94074791294
1,11,0,-3.60745995861
1,11,1,-3.42171562268
1,11,2,-3.22875667755
1,11,3,-2.72749716926
1,11,4,-1.52284888864
1,11,5,-0.753199402029
1,11,6,-0.235294750202
1,11,7,0.780404948114
1,11,8,2.36844657611
1,11,9,3.35345309809
1,11,10,3.99298638091
1,11,11,4.2656715847
